PROJECT_ID,USR_PRINCIPAL_INVESTIGATOR,USR_DIAGNOSIS_AREA,USR_FUNDING_DATE_START,USR_FUNDING_DATE_END
27,Christine Helfrich,7,10/1/09,9/30/12
27,Christine Helfrich,16,10/1/09,9/30/12
27,Christine Helfrich,3,10/1/09,9/30/12
27,Christine Helfrich,26,10/1/09,9/30/12
27,Christine Helfrich,21,10/1/09,9/30/12
31,Barb Hooper,29,11/1/09,11/30/14
181,Mary Jane Mulcahey,26,1/1/10,12/31/10
168,Mary Jane Mulcahey,29,1/1/10,12/31/11
435,Rachel Kizony,29,1/1/10,4/3/16
435,Rachel Kizony,4,1/1/10,4/3/16
373,Alexia Metz,22,1/1/10,4/3/16
181,Mary Jane Mulcahey,29,1/1/10,12/31/10
38,Christopher Callahan,11,1/4/10,12/18/15
59,Kay Waid-Ebbs,9,2/1/10,8/1/12
59,Kay Waid-Ebbs,16,2/1/10,8/1/12
59,Kay Waid-Ebbs,10,2/1/10,8/1/12
100,Marsha M. Seltzer,29,2/1/10,3/31/14
100,Marsha M. Seltzer,1,2/1/10,3/31/14
58,I-Chan Huang,29,2/1/10,8/1/12
59,Kay Waid-Ebbs,1,2/1/10,8/1/12
59,Kay Waid-Ebbs,8,2/1/10,8/1/12
59,Kay Waid-Ebbs,12,2/1/10,8/1/12
380,Joseph Margolick,29,2/1/10,12/31/12
40,Arlene Schmid,24,2/5/10,12/16/11
293,Elizabeth Schlenk,3,3/19/10,1/31/14
293,Elizabeth Schlenk,7,3/19/10,1/31/14
253,Elizabeth Skidmore,24,4/1/10,3/30/13
323,Mark T. Hegel,6,5/1/10,4/30/13
265,Steven Reznick,1,6/1/10,5/31/13
135,Laura Bellows,19,6/1/10,5/31/14
386,Patrick Kitzman,24,6/6/10,6/30/13
386,Patrick Kitzman,4,6/6/10,6/30/13
386,Patrick Kitzman,23,6/6/10,6/30/13
43,Stephanie Combs,24,6/11/10,12/9/11
69,Susan Stark,29,6/15/10,6/14/14
102,V. Paquet,3,7/1/10,6/30/15
81,A. Peters,12,7/1/10,12/31/12
102,V. Paquet,13,7/1/10,6/30/15
102,V. Paquet,17,7/1/10,6/30/15
102,V. Paquet,18,7/1/10,6/30/15
102,V. Paquet,26,7/1/10,6/30/15
102,V. Paquet,28,7/1/10,6/30/15
205,Stephen Page,24,7/1/10,6/30/12
264,Grace Baranek,22,7/1/10,6/30/11
264,Grace Baranek,1,7/1/10,6/30/11
266,Linda Watson,1,7/1/10,6/30/14
64,Christine Arenson,29,7/1/10,6/30/15
252,Elizabeth Skidmore,4,7/1/10,6/30/12
252,Elizabeth Skidmore,24,7/1/10,6/30/12
191,Kenneth Ottenbacher,29,7/3/10,5/31/11
3,Stephen Page,24,7/14/10,6/30/11
3,Stephen Page,13,7/14/10,6/30/11
84,Kevin D. Evans,28,9/1/10,8/31/12
84,Kevin D. Evans,17,9/1/10,8/31/12
84,Kevin D. Evans,13,9/1/10,8/31/12
1,Susan Murphy,3,10/1/10,9/30/13
101,Edward Steinfield,26,10/1/10,10/31/15
101,Edward Steinfield,3,10/1/10,10/31/15
101,Edward Steinfield,29,10/1/10,10/31/15
101,Edward Steinfield,28,10/1/10,10/31/15
101,Edward Steinfield,23,10/1/10,10/31/15
101,Edward Steinfield,21,10/1/10,10/31/15
101,Edward Steinfield,17,10/1/10,10/31/15
101,Edward Steinfield,2,10/1/10,10/31/15
309,Bradley Tanner,29,1/1/97,12/31/00
234,Kenneth Ottenbacher,29,1/1/97,12/31/99
15,Jan Stube,24,1/10/97,4/22/99
15,Jan Stube,29,1/10/97,4/22/99
104,Kenneth Ottenbacher,29,9/1/97,8/31/98
291,Grace Baranek,22,11/1/97,10/30/98
291,Grace Baranek,29,11/1/97,10/30/98
112,Patricia Davies,22,1/1/98,4/3/16
113,Patricia Davies,22,1/1/98,12/1/01
114,William Mann,29,1/1/98,8/1/00
308,Jacqueline Dunbar-Jacob,3,1/1/98,12/31/03
438,Naomi Josman,29,1/1/98,4/3/16
142,Alexander Dromerick,4,1/1/98,1/1/02
289,Elizabeth Crais,8,7/1/98,6/30/01
289,Elizabeth Crais,9,7/1/98,6/30/01
289,Elizabeth Crais,10,7/1/98,6/30/01
289,Elizabeth Crais,22,7/1/98,6/30/01
289,Elizabeth Crais,1,7/1/98,6/30/01
110,Patricia Davies,4,8/1/98,5/1/04
119,Patricia Davies,4,8/10/98,5/31/03
290,Grace Baranek,1,10/1/98,6/30/99
228,Mark Johnston,4,10/1/98,10/1/00
158,Mary Jane Mulcahey,23,1/1/99,1/1/03
16,Jan Stube,24,2/16/99,7/18/00
226,Stephen Page,24,7/1/99,6/30/01
227,Stephen Page,24,7/1/99,6/30/00
287,Don Bailey,29,7/1/99,6/30/02
288,Lee Marcus,1,7/1/99,6/30/01
285,Grace Baranek,1,11/1/99,10/31/02
233,Kenneth Ottenbacher,29,1/1/00,12/31/05
331,Mary Lawlor,2,1/1/00,12/31/04
286,Rebecca Edmonson,9,4/1/00,6/30/02
286,Rebecca Edmonson,15,4/1/00,6/30/02
286,Rebecca Edmonson,10,4/1/00,6/30/02
286,Rebecca Edmonson,8,4/1/00,6/30/02
286,Rebecca Edmonson,22,4/1/00,6/30/02
286,Rebecca Edmonson,1,4/1/00,6/30/02
262,Grace Baranek,29,7/1/00,4/3/16
262,Grace Baranek,1,7/1/00,4/3/16
220,Roseann Schaaf,22,7/1/00,6/30/01
175,Kenneth Ottenbacher,29,8/1/00,7/31/04
185,Kenneth Ottenbacher,29,8/1/00,2/29/12
225,Stephen Page,4,9/1/00,8/30/01
306,Thomas Rudy,29,1/1/01,12/31/04
307,Jacqueline Dunbar-Jacob,12,1/1/01,12/31/06
223,Stephen Page,24,1/1/01,12/31/04
307,Jacqueline Dunbar-Jacob,7,1/1/01,12/31/06
330,Mary Lawlor,2,1/1/01,1/1/04
332,Mary Lawlor,2,1/1/01,12/31/03
143,Carolyn Baum,4,1/1/01,1/1/04
176,Kenneth Ottenbacher,29,2/1/01,8/1/02
381,Eileen S. Auerbach,16,4/21/01,12/9/01
115,Patricia Davies,22,5/1/01,5/1/02
192,Kenneth Ottenbacher,29,5/1/01,4/30/12
207,Roseann Schaaf,22,7/1/01,6/30/02
224,Stephen Page,24,7/1/01,6/30/03
305,Eric Lenze,7,9/1/01,8/31/06
305,Eric Lenze,26,9/1/01,8/31/06
305,Eric Lenze,17,9/1/01,8/31/06
305,Eric Lenze,18,9/1/01,8/31/06
305,Eric Lenze,16,9/1/01,8/31/06
116,Patricia Davies,4,1/1/02,12/1/02
116,Patricia Davies,22,1/1/02,12/1/02
303,Joan Rogers,17,1/1/02,12/31/06
303,Joan Rogers,29,1/1/02,12/31/06
304,Richard Schulz,16,1/1/02,12/31/07
304,Richard Schulz,23,1/1/02,12/31/07
232,Kenneth Ottenbacher,24,1/1/02,12/31/05
219,Lucy Miller,29,7/1/02,6/30/03
219,Lucy Miller,22,7/1/02,6/30/03
281,Joseph Piven,1,9/1/02,8/30/07
221,Stephen Page,24,1/1/03,12/31/03
222,Stephen Page,24,1/1/03,1/1/04
247,Ellen Whyte,16,1/1/03,12/31/08
247,Ellen Whyte,24,1/1/03,12/31/08
302,Judith Matthews,29,1/1/03,12/31/05
117,Patricia Davies,4,1/1/03,4/1/03
117,Patricia Davies,22,1/1/03,4/1/03
280,Grace Baranek,1,2/1/03,1/31/08
280,Grace Baranek,22,2/1/03,1/31/08
283,Grace Baranek,1,5/1/03,4/30/05
188,Kenneth Ottenbacher,26,6/1/03,4/30/08
208,Roseann Schaaf,1,6/1/03,8/31/03
284,Grace Baranek,1,6/1/03,6/30/04
188,Kenneth Ottenbacher,29,6/1/03,4/30/08
208,Roseann Schaaf,22,6/1/03,8/31/03
188,Kenneth Ottenbacher,11,6/1/03,4/30/08
188,Kenneth Ottenbacher,24,6/1/03,4/30/08
94,Susan Fasoli,24,7/13/03,6/30/04
273,Joseph Piven,10,8/1/03,6/30/13
273,Joseph Piven,16,8/1/03,6/30/13
273,Joseph Piven,1,8/1/03,6/30/13
273,Joseph Piven,9,8/1/03,6/30/13
372,Corey McGee,13,9/1/03,4/3/16
4,Tracey Lieu,29,10/1/03,10/31/06
339,Mary Lawlor,2,1/1/90,12/31/94
340,Mary Lawlor,2,1/1/90,12/31/93
344,Mary Lawlor,2,1/1/90,12/31/91
313,Wishwa Kapoor,29,1/1/91,12/31/94
343,Mary Lawlor,29,1/1/91,12/31/92
313,Wishwa Kapoor,7,1/1/91,12/31/94
138,Dorothy Edwards,11,1/1/91,12/31/95
236,Kenneth Ottenbacher,8,1/1/92,12/31/93
236,Kenneth Ottenbacher,27,1/1/92,12/31/93
342,Mary Lawlor,2,1/1/92,12/31/92
194,Kyriakos Markides,29,9/30/92,1/31/15
194,Kyriakos Markides,12,9/30/92,1/31/15
194,Kyriakos Markides,11,9/30/92,1/31/15
335,Mary Lawlor,10,1/1/93,12/31/96
336,Mary Lawlor,2,1/1/93,12/31/95
337,Mary Lawlor,29,1/1/93,12/31/94
338,Jeanette McCullom,2,1/1/93,12/31/94
312,Joan Rogers,29,1/1/93,12/31/95
93,Wendy Coster,10,7/10/93,7/9/96
93,Wendy Coster,9,7/10/93,7/9/96
93,Wendy Coster,15,7/10/93,7/9/96
93,Wendy Coster,22,7/10/93,7/9/96
93,Wendy Coster,8,7/10/93,7/9/96
217,Roseann Schaaf,22,1/1/94,12/31/95
310,Joan Rogers,29,1/1/94,12/31/98
311,Joan Rogers,16,1/1/94,12/31/98
235,Kenneth Ottenbacher,29,1/1/94,12/31/97
139,Dorothy Edwards,11,1/1/95,12/31/00
140,Carolyn Baum,11,1/1/95,12/31/96
334,Mary Lawlor,2,1/1/95,12/31/97
292,Grace Baranek,1,7/1/95,7/31/96
107,Richard Lauer,8,1/1/96,12/31/04
107,Richard Lauer,23,1/1/96,12/31/04
141,Carolyn Baum,29,1/1/96,12/31/98
333,Mary Lawlor,2,1/1/96,12/31/99
106,Patricia Davies,22,6/1/96,4/3/16
109,Carolyn Baum,11,1/1/83,12/31/88
206,Roseann Schaaf,29,1/1/84,12/31/85
136,Carolyn Baum,29,1/1/85,12/31/86
347,Anne Henderson,2,1/1/85,12/31/87
348,Mary Lawlor,2,1/1/85,12/31/85
319,Joan Rogers,29,1/1/85,12/31/86
320,Joan Rogers,11,1/1/85,12/31/86
317,Michael McCue,29,1/1/86,12/31/89
318,Joan Rogers,16,1/1/86,12/31/87
341,Mary Lawlor,2,1/1/87,12/31/93
316,Janet Poole,3,1/1/87,12/31/98
346,Gary Kielhofner,2,1/1/87,12/31/91
137,S. Logan,28,1/1/88,12/31/89
137,S. Logan,17,1/1/88,12/31/89
137,S. Logan,13,1/1/88,12/31/89
315,Joan Rogers,3,1/1/88,12/31/90
345,Trudy Latzko,2,1/1/88,12/31/89
108,Carolyn Baum,29,1/1/82,12/31/84
